"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","28-MAR-24","27-MAR-24","19:08:00Z","LONG BEACH","CALIFORNIA","UNITED STATES","AIRCRAFT OBSERVED IN RUNWAY SAFETY AREA, DEPARTURE END OF RUNWAY AND APPEARED TO BE ABANDONED, LONG BEACH, CA.","INCIDENT","LONG BEACH FSDO","N636SA","","","CESSNA","172","No","UNKNOWN","PERSONAL","STANDING (STD)","91","UNKNOWN","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","28-MAR-24","27-MAR-24","15:00:00Z","VENICE","FLORIDA","UNITED STATES","AIRCRAFT RIGHT MAIN GEAR COLLAPSED ON LANDING, VENICE, FL.","INCIDENT","TAMPA FSDO","N3425X","","","MOONEY","M20E","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","28-MAR-24","27-MAR-24","12:30:00Z","XENIA","OHIO","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND LANDED IN A FIELD, XENIA, OH.","INCIDENT","CINCINNATI FSDO","N6144E","","","CESSNA","172","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","29-MAR-24","28-MAR-24","15:57:00Z","MINNEAPOLIS","MINNESOTA","UNITED STATES","AIRCRAFT ON PUSHBACK FROM GATE AND CLIPPED WINGS WITH DAL1460, MINNEAPOLIS, MN.","INCIDENT","MINNEAPOLIS FSDO","N345NW","DAL1104","DELTA AIRLINES","AIRBUS","A320","No","UNKNOWN","COMMERCIAL","PUSHBACK/TOWING (PBT)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","29-MAR-24","28-MAR-24","15:57:00Z","MINNEAPOLIS","MINNESOTA","UNITED STATES","AIRCRAFT WAS TAXIING AND CLIPPED WINGS WITH DAL1104, MINNEAPOLIS, MN.","INCIDENT","MINNEAPOLIS FSDO","N331NW","DAL1460","DELTA AIRLINES","AIRBUS","A320","No","UNKNOWN","COMMERCIAL","TAXI (TXI)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","20-MAR-24","05-MAR-24","21:00:00Z","COOKSON","OKLAHOMA","UNITED STATES","AIRCRAFT LANDED HARD INCURRING A PROP STRIKE, COOKSON, OK.","INCIDENT","WILL ROGERS FSDO","N84MA","","","VANS","RV7","No","MINOR","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","20-MAR-24","19-MAR-24","19:20:00Z","KALAMAZOO","MICHIGAN","UNITED STATES","AIRCRAFT LANDED HARD AND BOUNCED SEVERAL TIMES DAMAGING THE NOSE STRUT, KALAMAZOO, MI.","INCIDENT","GRAND RAPIDS FSDO","N247BW","","","VANS","RV7","No","MINOR","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","20-MAR-24","18-MAR-24","21:50:00Z","AITKIN","MINNESOTA","UNITED STATES","AIRCRAFT ON TAKEOFF ENCOUNTERED A GUST OF WIND AND FLIPPED OVER, AITKIN, MN.","INCIDENT","MINNEAPOLIS FSDO","N788JN","","","CIRRUS","SR20","No","UNKNOWN","PERSONAL","TAKEOFF (TOF)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","29-MAR-24","28-MAR-24","18:20:00Z","NEW RICHMOND","WISCONSIN","UNITED STATES","AIRCRAFT LANDED AND LEFT MAIN GEAR COLLAPSED, NEW RICHMOND, WI.","INCIDENT","MINNEAPOLIS FSDO","N122AM","","","CESSNA","310","No","UNKNOWN","UNKNOWN","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","29-MAR-24","28-MAR-24","17:55:00Z","MINERAL WELLS","TEXAS","UNITED STATES","AIRCRAFT LEFT GEAR COLLAPSED ON LANDING, MINERAL WELLS, TX.","INCIDENT","NORTH TEXAS FSDO","N7885C","","","BEECH","95-C55","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","29-MAR-24","28-MAR-24","21:26:00Z","PHOENIX","ARIZONA","UNITED STATES","AIRCRAFT ON TAKEOFF AND NEVER BECAME AIRBORNE, CONTINUED OFF THE END OF THE RUNWAY INTO ROCKS, PHOENIX, AZ.","INCIDENT","SCOTTSDALE FSDO","N207BC","HAL451","","ISRAEL AIRCRAFT","ASTRA","No","NONE","CORPORATE","TAKEOFF (TOF)","91","NONE","No","2","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"No","29-MAR-24","29-MAR-24","08:55:00Z","INDIANAPOLIS","INDIANA","UNITED STATES","AIRCRAFT ABORTED TAKEOFF DUE TO A BIRD STRIKE, INDIANAPOLIS, IN.","INCIDENT","INDIANAPOLIS FSDO","N151FE","FDX1729","FEDERAL EXPRESS","BOEING","767","No","UNKNOWN","CARGO","TAKEOFF (TOF)","121","NONE","No","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","01-APR-24","30-MAR-24","22:04:00Z","TRUCKEE","CALIFORNIA","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES AND POST CRASH FIRE, TRUCKEE, CA.","ACCIDENT","RENO FSDO","N960LP","","","COMPAGNIE DAHER","TBM700","No","SUBSTANTIAL","PERSONAL","APPROACH (APR)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"No","01-APR-24","30-MAR-24","17:15:00Z","FORT PIERCE","FLORIDA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND CRASHED ON THE RAMP, FORT PIERCE, FL.","ACCIDENT","ORLANDO FSDO","N595ND","","AVIATOR COLLEGE OF AERONAUTICAL SCIENE & TECH","PIPER","PA44","No","UNKNOWN","FAR 141 PILOT SCHOOL","LANDING (LDG)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"No","01-APR-24","30-MAR-24","18:00:00Z","BEN WHEELER","TEXAS","UNITED STATES","AIRCRAFT EXPERIENCED A GUST OF WIND ON LANDING AND ENDED UP INVERTED, BEN WHEELER, TX.","INCIDENT","NORTH TEXAS FSDO","N3322U","","","CESSNA","182","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","01-APR-24","29-MAR-24","16:45:00Z","ORLANDO","FLORIDA","UNITED STATES","AIRCRAFT DEPARTED, EXPERIENCED ENGINE ISSUES AT 50 FEET AND MADE A GEAR UP LANDING SKIDDING OFF THE RUNWAY INTO THE GRASS, ORLANDO, FL.","ACCIDENT","ORLANDO FSDO","N5429K","","","NAVION","NAVION B","No","SUBSTANTIAL","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","01-APR-24","30-MAR-24","19:00:00Z","NORTH KINGSTOWN","RHODE ISLAND","UNITED STATES","AIRCRAFT CRASHED IN NARRAGANSETT BAY FOR UNKNOWN REASONS, NORTH KINGSTOWN, RI.","ACCIDENT","BOSTON FSDO","N7538P","","","PIPER","PA24","No","DESTROYED","PERSONAL","APPROACH (APR)","91","UNKNOWN","No","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"No","01-APR-24","30-MAR-24","16:40:00Z","CLERMONT","FLORIDA","UNITED STATES","AIRCRAFT CRASHED IN A FIELD DUE TO ENGINE ISSUES, CLERMONT, FL.","ACCIDENT","ORLANDO FSDO","N20330","","","DTA","VOYAGER II","No","SUBSTANTIAL","PERSONAL","EN ROUTE (ENR)","91","SERIOUS","No","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
