UPDATED,ENTRY_DATE,EVENT_LCL_DATE,EVENT_LCL_TIME,LOC_CITY_NAME,LOC_STATE_NAME,LOC_CNTRY_NAME,RMK_TEXT,EVENT_TYPE_DESC,FSDO_DESC,REGIST_NBR,FLT_NBR,ACFT_OPRTR,ACFT_MAKE_NAME,ACFT_MODEL_NAME,ACFT_MISSING_FLAG,ACFT_DMG_DESC,FLT_ACTIVITY,FLT_PHASE,FAR_PART,MAX_INJ_LVL,FATAL_FLAG,FLT_CRW_INJ_NONE,FLT_CRW_INJ_MINOR,FLT_CRW_INJ_SERIOUS,FLT_CRW_INJ_FATAL,FLT_CRW_INJ_UNK,CBN_CRW_INJ_NONE,CBN_CRW_INJ_MINOR,CBN_CRW_INJ_SERIOUS,CBN_CRW_INJ_FATAL,CBN_CRW_INJ_UNK,PAX_INJ_NONE,PAX_INJ_MINOR,PAX_INJ_SERIOUS,PAX_INJ_FATAL,PAX_INJ_UNK,GRND_INJ_NONE,GRND_INJ_MINOR,GRND_INJ_SERIOUS,GRND_INJ_FATAL,GRND_INJ_UNK
No,23-FEB-24,23-FEB-24,00:12:00Z,SAN ANDREAS,CALIFORNIA,UNITED STATES,"AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES AND SUSPENDED IN TREES, SAN ANDREAS, CA.",INCIDENT,SACRAMENTO FSDO,N1611E,,,AERONCA,7AC,No,UNKNOWN,PERSONAL,APPROACH (APR),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,23-FEB-24,23-FEB-24,02:00:00Z,BURBANK,CALIFORNIA,UNITED STATES,"AIRCRAFT LANDED AND TAXIING TO THE GATE THE LEFT WING STRUCK A FUEL TRUCK, BURBANK, CA.",INCIDENT,VAN NUYS FSDO,N461AS,ASA1150,ALASKA AIRLINES,BOEING,737,No,UNKNOWN,COMMERCIAL,TAXI (TXI),121.0,NONE,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,23-FEB-24,22-FEB-24,21:25:00Z,WEIPPE,IDAHO,UNITED STATES,"AIRCRAFT DEPARTED AND THE ENGINE WAS LEAKING OIL AND HITTING THE WINDSHIELD, RETURNED TO THE AIRPORT FOR A SOFT FIELD LANDING AND THE NOSE WHEEL BECAME STUCK IN THE MUD AND FLIPPED OVER, WEIPPE, ID.",INCIDENT,SPOKANE FSDO,N6323B,,,CESSNA,182,No,MINOR,PERSONAL,LANDING (LDG),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,23-FEB-24,22-FEB-24,20:53:00Z,DULUTH,MINNESOTA,UNITED STATES,"AIRCRAFT LANDED WITH THE NOSE GEAR RETRACTED, DULUTH, MN.",INCIDENT,MINNEAPOLIS FSDO,N8439A,,,PIPER,PA34,No,UNKNOWN,PERSONAL,LANDING (LDG),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
No,23-FEB-24,23-FEB-24,05:15:00Z,WICHITA FALLS,TEXAS,UNITED STATES,"AIRCRAFT LANDED HARD, BOUNCED, GEAR COLLAPSED AND INCURRED A PROP STRIKE, WICHITA FALLS, TX.",INCIDENT,LUBBOCK FSDO,N9711M,,,MOONEY,M20F,No,UNKNOWN,PERSONAL,LANDING (LDG),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Yes,22-FEB-24,22-FEB-24,02:45:00Z,FORT LAUDERDALE,FLORIDA,UNITED STATES,"AIRCRAFT LANDED AND NOSE GEAR COLLAPSED, FORT LAUDERDALE, FL.",ACCIDENT,SOUTH FLORIDA FSDO,N155WF,,,MITSUBISHI,MU-2B-40,No,SUBSTANTIAL,PERSONAL,LANDING (LDG),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
No,22-FEB-24,21-FEB-24,18:03:00Z,KNOXVILLE,TENNESSEE,UNITED STATES,"AIRCRAFT LANDED GEAR UP, KNOXVILLE, TN.",INCIDENT,NASHVILLE FSDO,N258WP,,,CESSNA,310,No,UNKNOWN,PERSONAL,LANDING (LDG),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,21-FEB-24,20-FEB-24,22:35:00Z,LAOTTO,INDIANA,UNITED STATES,"AIRCRAFT ATTEMPTED TO LAND IN A FIELD, THE SUN OBSTRUCTED THE PILOT'S VISION, STRUCK A TREE AND CRASHED, LAOTTO, IN.",INCIDENT,GRAND RAPIDS FSDO,N358AK,,,CUBCRAFTERS,CCX-2000,No,UNKNOWN,PERSONAL,LANDING (LDG),91.0,MINOR,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,21-FEB-24,19-FEB-24,22:30:00Z,SAN FRANCISCO,CALIFORNIA,UNITED STATES,"AIRCRAFT RIGHT HAND SIDE INBOARD SLAT BROKE OFF DURING DEPARTURE, SAN FRANCISCO, CA.",INCIDENT,OAKLAND FSDO,N57111,UAL354C,UNITED AIRLINES,BOEING,757,No,UNKNOWN,COMMERCIAL,TAKEOFF (TOF),121.0,NONE,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,21-FEB-24,20-FEB-24,19:15:00Z,HANA,HAWAII,UNITED STATES,"AIRCRAFT TAIL ROTOR WAS HIT WITH UNSECURED RAIN GEAR THAT FLEW OUT, HANA, HI.",ACCIDENT,HONOLULU FSDO,N690WA,,,HUGHES,369,No,SUBSTANTIAL,PERSONAL,EN ROUTE (ENR),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
No,21-FEB-24,20-FEB-24,22:25:00Z,AUSTIN,TEXAS,UNITED STATES,"AIRCRAFT TAXIED TOO CLOSE BEHIND N219JA AND FLIPPED OVER, AUSTIN, TX.",ACCIDENT,SAN ANTONIO FSDO,N6762A,,,CESSNA,172,No,SUBSTANTIAL,PERSONAL,TAXI (TXI),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,21-FEB-24,20-FEB-24,12:30:00Z,FARMINGDALE,NEW YORK,UNITED STATES,"AIRCRAFT EXPERIENCED ENGINE ISSUES AND LANDED ON SOUTHERN STATE PARKWAY, FARMINGDALE, NY.",INCIDENT,FARMINGDALE FSDO,N33667,,,PIPER,PA28,No,UNKNOWN,PERSONAL,APPROACH (APR),91.0,MINOR,No,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
No,21-FEB-24,20-FEB-24,15:15:00Z,PUNTA GORDA,FLORIDA,UNITED STATES,"AIRCRAFT VEERED OFF RUNWAY INTO THE GRASS WHILE LANDING, PUNTA GORDA, FL.",INCIDENT,TAMPA FSDO,N154PA,,,PIPER,PA28,No,UNKNOWN,INSTRUCTION,LANDING (LDG),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,21-FEB-24,20-FEB-24,19:41:00Z,MARKS,MISSISSIPPI,UNITED STATES,"AIRCRAFT BOUNCED ON LANDING, BECAME AIRBORNE, STALLED AND CRASHED IN THE GRASS, MARKS, MS.",ACCIDENT,JACKSON FSDO,N14YY,,,CESSNA,182,No,UNKNOWN,PERSONAL,LANDING (LDG),91.0,SERIOUS,No,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,21-FEB-24,21-FEB-24,19:30:00Z,PERRYVILLE,MISSOURI,UNITED STATES,"AIRCRAFT LANDED ON A SANDBAR ON THE MISSISSIPPI RIVER, THE LEFT MAIN GEAR BECAME STUCK IN THE SAND AND TIPPED ON ITS NOSE, PERRYVILLE, MO.",INCIDENT,ST LOUIS FSDO,N3650K,,,PIPER,J3C-65,No,UNKNOWN,PERSONAL,LANDING (LDG),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
No,21-FEB-24,20-FEB-24,17:36:00Z,DUNNELLON,FLORIDA,UNITED STATES,"AIRCRAFT DECLARED AN EMERGENCY DUE TO ENGINE ISSUES AND LANDED IN A FIELD, DUNNELLON, FL.",ACCIDENT,ORLANDO FSDO,N8158F,,,CESSNA,150,No,SUBSTANTIAL,PERSONAL,EN ROUTE (ENR),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,21-FEB-24,17-FEB-24,14:54:00Z,CHANTILLY,VIRGINIA,UNITED STATES,"AIRCRAFT ENCOUNTERED A  TAIL STRIKE DURING DEPARTURE AND RETURNED TO IAD, CHANTILLY, VA.",INCIDENT,WASHINGTON FSDO,N69059,UAL345,UNITED AIRLINES,BOEING,767,No,UNKNOWN,COMMERCIAL,TAKEOFF (TOF),121.0,NONE,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,21-FEB-24,20-FEB-24,16:10:00Z,OKLAHOMA CITY,OKLAHOMA,UNITED STATES,"AIRCRAFT NOSE GEAR COLLAPSED ON LANDING, OKLAHOMA CITY, OK.",INCIDENT,WILL ROGERS FSDO,N5958Q,,,MOONEY,M20E,No,UNKNOWN,PERSONAL,LANDING (LDG),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,21-FEB-24,18-FEB-24,20:09:00Z,BOGOTA,CUNDINAMARCA,COLOMBIA,"AIRCRAFT EXPERIENCED SEVERE TURBULENCE INJURYING FLIGHT ATTENDANTS AND A PASSENGER, BOGOTA, COLOMBIA.",INCIDENT,MIAMI IFO,N176DZ,DAL253,DELTA AIRLINES,BOEING,767,No,UNKNOWN,COMMERCIAL,EN ROUTE (ENR),121.0,MINOR,No,2,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0
No,20-FEB-24,17-FEB-24,20:30:00Z,BRAWLEY,CALIFORNIA,UNITED STATES,"AIRCRAFT TAIL ROTOR STRUCK BUSHES ON DEPARTURE, BRAWLEY, CA.",INCIDENT,SAN DIEGO FSDO,N612RX,,,AIRBUS,AS350,No,UNKNOWN,UNKNOWN,TAKEOFF (TOF),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
No,20-FEB-24,16-FEB-24,14:13:00Z,TUSCALOOSA,ALABAMA,UNITED STATES,"AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES IN A RIVER, TUSCALOOSA, AL.",ACCIDENT,ALABAMA AND NW FLORIDA FSDO,N9160H,,,CESSNA,172,No,DESTROYED,PERSONAL,EN ROUTE (ENR),91.0,FATAL,Yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,20-FEB-24,18-FEB-24,23:00:00Z,GALENA,ALASKA,UNITED STATES,"AIRCRAFT REPORTED CARB ICING, MADE A FORCED LANDING AND SKIS STRUCK A TREE, GALENA, AK.",ACCIDENT,FAIRBANKS FSDO,N406AK,,,EXPERIMENTAL,BEARHAWK PATROL,No,SUBSTANTIAL,PERSONAL,EN ROUTE (ENR),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,20-FEB-24,17-FEB-24,01:28:00Z,EVERETT,WASHINGTON,UNITED STATES,"AIRCRAFT EXPERIENCED ENGINE ISSUES AND CRASHED LANDED IN A TREE, EVERETT, WA.",ACCIDENT,SEATTLE FSDO,N3538V,,,CESSNA,150,No,SUBSTANTIAL,UNKNOWN,APPROACH (APR),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,20-FEB-24,16-FEB-24,16:18:00Z,WILMINGTON,NORTH CAROLINA,UNITED STATES,"AIRCRAFT LANDED AND VEERED OFF TAXIWAY INTO THE GRASS, WILMINGTON, NC.",INCIDENT,GREENSBORO FSDO,N389DC,,,DIAMOND,DA20,No,UNKNOWN,PERSONAL,LANDING (LDG),91.0,NONE,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
